comment_id,content,create_time,device,origin_comment_avatar_key,origin_comment_comment_id,origin_comment_content,origin_comment_create_time,origin_comment_device,origin_comment_up_num,origin_comment_user,origin_comment_videoId,up_num,user_avatar_key,user_nickname,videoId
105195306,评论里都好年轻呀,1小时前,phone,,,,,,,,,0,https://avatar.hitv.com/5/fe774228/b9vo8hen9l25ahcc32g0?x-oss-process=style/medium,东门道,4337140
105194993,爆炸的就是我出生的前一天😂,2小时前,phone,,,,,,,,,0,https://avatar.hitv.com/6/120c8d6f/baq61aen9l25cmpitk6g?x-oss-process=style/medium,哎哟嘞,4337140
105193875,和明星大侦探没有可比性。。,4小时前,pad,,,,,,,,,1,https://avatar.hitv.com/6/025b5a42/b5ahmmdmugg8r6ksvgp0?x-oss-process=style/medium,旧壶新酒,4337140
105193444,哈哈哈哈！去自己家小卖铺拿东西还要给钱！笑喷,4小时前,phone,,,,,,,,,1,https://eximg.hitv.com/2/mava2_iXDZBOVQ2CCRdIvDHfslRsT4n5qI2CNS.jpg,墨璃幽,4337140
105193063,1998。。我出生啦～2018，我儿仔一岁啦～,5小时前,phone,,,,,,,,,3,https://avatar.hitv.com/6/d9bfd458/bb9kridmugg6briksol0?x-oss-process=style/medium,Seeyouonce38mtG,4337140
105192699,我刚好出生,6小时前,phone,https://eximg.hitv.com/2/mava2_sE4Pt40oT28t0gAflin3RWBJgWN3GOOl.jpg,0.0,98年&hellip;&hellip;我还没出生&hellip;&hellip;🌚,,pc,2.0,达家的馨儿吖,4337140.0,0,https://eximg.hitv.com/2/mava2_IoEfs3EJf2SyFKLOILmu9sgbcE2mFEmZ.jpg,美美哒小飞,4337140
105191710,等待明星大侦探4的过程。,14小时前,phone,,,,,,,,,1,https://avatar.hitv.com/6/87501f8e/WOUgM5zZyWKeyvFt?x-oss-process=style/medium,汐亦残潋若丶,4337140
105190528,赞你的头像,17小时前,phone,https://avatar.hitv.com/6/2a7f19b4/b5su33dmugg6ub4k66hg?x-oss-process=style/medium,0.0,看，这雪停了,,pc,4.0,落梦琉璃,4337140.0,0,https://eximg.hitv.com/2/mava2_q9XqurFBt1ldDOcMrjSAdylwyUgCUR9V.jpg,永生永世凯源玺,4337140
105189660,邓伦帅啊，get到他的颜,18小时前,pad,,,,,,,,,2,https://avatar.hitv.com/6/045409f6/b936nmmn9l25cmotc0n0?x-oss-process=style/medium,唔77pjQ,4337140
105189310,我想让撒撒和白白回来,18小时前,phone,,,,,,,,,0,https://avatar.hitv.com/5/d70d64ed/b4etiu6n9l22g8dr05bg?x-oss-process=style/medium,高yoyo,4337140
105188705,真的不如明星大侦探好，我真的熬不下去了。눈_눈,19小时前,phone,,,,,,,,,0,https://avatar.hitv.com/6/9decc367/b40unden9l22hq54oltg?x-oss-process=style/medium,Sddddddd78dql,4337140
105188120,台综限制太多，没明侦好看,19小时前,phone,https://avatar.hitv.com/5/39e856fb/WOUaUZzZyWKexncL?x-oss-process=style/medium,0.0,段位比明星大侦探要低好几级，是不是太黑暗的故事内容过不了审核呀？😄重温前三季去了。,,pc,14.0,vivi55PqB,4337140.0,0,https://avatar.hitv.com/5/ab40c80a/badncjtmugg6bricvfp0?x-oss-process=style/medium,卯金刀62Hfg,4337140
105188100,和明侦是同一个，还是小盒子好吗！,19小时前,phone,https://avatar.hitv.com/0/8c5a31e7/b6tpo1n6jlt7t174jptg?x-oss-process=style/large,0.0,不是一个制作团队，和跑男是一个,,pc,1.0,mg84832189ovU,4337140.0,0,https://avatar.hitv.com/5/ab40c80a/badncjtmugg6bricvfp0?x-oss-process=style/medium,卯金刀62Hfg,4337140
105187155,有钱人才能做的浪漫和感动,20小时前,pad,,,,,,,,,2,https://avatar.hitv.com/6/a1145cb2/b6o0il5muggaomhip4tg?x-oss-process=style/medium,君子潇,4337140
105187169,想要撒明灯,20小时前,pad,,,,,,,,,0,https://avatar.hitv.com/6/a1145cb2/b6o0il5muggaomhip4tg?x-oss-process=style/medium,君子潇,4337140
